t,y,y_diff
0.0023125096354568147,2899,-68.0
0.002333343055596065,2896,-3.0
0.0023541764757353156,2829,-67.0
0.0023750098958745663,2692,-137.0
0.0023958433160138166,2641,-51.0
0.0024166767361530673,2719,78.0
0.002437510156292318,2756,37.0
0.0024583435764315687,2680,-76.0
0.002479176996570819,2624,-56.0
0.0025000104167100697,2640,16.0
0.0025208438368493204,2643,3.0
0.002541677256988571,2606,-37.0
0.0025625106771278213,2564,-42.0
0.002583344097267072,2552,-12.0
0.0026041775174063227,2533,-19.0
0.0026250109375455734,2405,-128.0
0.0026458443576848237,2221,-184.0
0.0026666777778240744,2137,-84.0
0.002687511197963325,2062,-75.0
0.0027083446181025753,1875,-187.0
0.002729178038241826,1781,-94.0
0.0027500114583810767,1881,100.0
0.0027708448785203274,1923,42.0
0.0027916782986595777,1823,-100.0
0.0028125117187988284,1789,-34.0
0.002833345138938079,1892,103.0
0.0028541785590773298,2004,112.0
0.00287501197921658,2036,32.0
0.0028958453993558307,2016,-20.0
0.0029166788194950814,2030,14.0
0.002937512239634332,2071,41.0
0.0029583456597735824,2057,-14.0
0.002979179079912833,2022,-35.0
0.0030000125000520838,2006,-16.0
0.003020845920191334,1950,-56.0
0.0030416793403305847,1903,-47.0
0.0030625127604698354,1958,55.0
0.003083346180609086,2030,72.0
0.0031041796007483364,2050,20.0
0.003125013020887587,2117,67.0
0.0031458464410268378,2279,162.0
0.0031666798611660885,2477,198.0
0.0031875132813053387,2643,166.0
0.0032083467014445894,2757,114.0
0.00322918012158384,2885,128.0
0.003250013541723091,3021,136.0
0.003270846961862341,3033,12.0
0.0032916803820015918,2932,-101.0
0.0033125138021408425,2849,-83.0
0.003333347222280093,2740,-109.0
0.0033541806424193434,2554,-186.0
0.003375014062558594,2410,-144.0
0.003395847482697845,2349,-61.0
0.003416680902837095,2302,-47.0
0.0034375143229763458,2279,-23.0
0.0034583477431155965,2291,12.0
0.003479181163254847,2304,13.0
0.0035000145833940974,2325,21.0
0.003520848003533348,2349,24.0
0.003541681423672599,2370,21.0
0.0035625148438118495,2413,43.0
0.0035833482639510998,2425,12.0
0.0036041816840903505,2353,-72.0
0.003625015104229601,2256,-97.0
0.003645848524368852,2154,-102.0
0.003666681944508102,2007,-147.0
0.003687515364647353,1819,-188.0
0.0037083487847866035,1610,-209.0
0.003729182204925854,1451,-159.0
0.0037500156250651045,1418,-33.0
0.003770849045204355,1373,-45.0
0.003791682465343606,1176,-197.0
0.003812515885482856,996,-180.0
0.003833349305622107,945,-51.0
0.0038541827257613575,878,-67.0
0.0038750161459006082,778,-100.0
0.0038958495660398585,734,-44.0
0.003916682986179109,701,-33.0
0.0039375164063183594,684,-17.0
0.003958349826457611,721,37.0
0.003979183246596861,691,-30.0
0.004000016666736111,566,-125.0
0.004020850086875362,517,-49.0
0.0040416835070146125,563,46.0
0.004062516927153864,572,9.0
0.004083350347293114,478,-94.0
0.004104183767432364,258,-220.0
0.004125017187571615,-25,-283.0
0.0041458506077108655,-225,-200.0
0.004166684027850116,-329,-104.0
0.004187517447989367,-404,-75.0
0.004208350868128617,-398,6.0
0.004229184288267868,-286,112.0
0.004250017708407119,-221,65.0
