t,y
0,1014
2.08333333333333e-05,830
4.16666666666667e-05,509
6.25e-05,256
8.33333333333333e-05,-67
0.000104166666666667,-526
0.000125,-765
0.000145833333333333,-907
0.000166666666666667,-1204
0.0001875,-1405
0.000208333333333333,-1312
0.000229166666666667,-1052
0.00025,-839
0.000270833333333333,-852
0.000291666666666667,-1034
0.0003125,-1067
0.000333333333333333,-860
0.000354166666666667,-758
0.000375,-928
0.000395833333333333,-1297
0.000416666666666667,-1442
0.0004375,-1465
0.000458333333333333,-1905
0.000479166666666667,-2129
0.0005,-1771
0.000520833333333333,-1287
0.000541666666666667,-1153
0.0005625,-1135
0.000583333333333333,-833
0.000604166666666667,-832
0.000625,-525
0.000645833333333333,160
0.000666666666666667,129
0.0006875,27
0.000708333333333333,35
0.000729166666666667,-278
0.00075,-597
0.000770833333333333,-872
0.000791666666666667,-1101
0.0008125,-1181
0.000833333333333333,-1139
0.000854166666666667,-1038
0.000875,-878
0.000895833333333333,-647
0.000916666666666667,-216
0.0009375,382
0.000958333333333333,598
0.000979166666666667,333
0.001,17
0.00102083333333333,-142
0.00104166666666667,16
0.0010625,368
0.00108333333333333,916
0.00110416666666667,1558
0.001125,1417
0.00114583333333333,889
0.00116666666666667,965
0.0011875,1134
0.00120833333333333,899
0.00122916666666667,563
0.00125,474
0.00127083333333333,594
0.00129166666666667,589
0.0013125,300
0.00133333333333333,180
0.00135416666666667,350
0.001375,387
0.00139583333333333,613
0.00141666666666667,900
0.0014375,715
0.00145833333333333,296
0.00147916666666667,-41
0.0015,-208
0.00152083333333333,-200
0.00154166666666667,201
0.0015625,576
0.00158333333333333,456
0.00160416666666667,324
0.001625,141
0.00164583333333333,-83
0.00166666666666667,137
0.0016875,654
0.00170833333333333,1096
0.00172916666666667,1044
0.00175,653
0.00177083333333333,560
0.00179166666666667,366
0.0018125,-221
0.00183333333333333,-563
0.00185416666666667,-485
0.001875,-118
0.00189583333333333,338
0.00191666666666667,472
0.0019375,270
0.00195833333333333,-47
0.00197916666666667,-190
0.002,-68
0.00202083333333333,-144
0.00204166666666667,-390
0.0020625,-470
0.00208333333333333,-288
0.00210416666666667,300
0.002125,762
0.00214583333333333,884
0.00216666666666667,909
0.0021875,747
0.00220833333333333,828
0.00222916666666667,936
0.00225,742
0.00227083333333333,691
0.00229166666666667,736
0.0023125,853
0.00233333333333333,675
0.00235416666666667,220
0.002375,230
0.00239583333333333,309
0.00241666666666667,339
0.0024375,583
0.00245833333333333,743
0.00247916666666667,1019
0.0025,1294
0.00252083333333333,1287
0.00254166666666667,1239
0.0025625,1012
0.00258333333333333,879
0.00260416666666667,1038
0.002625,699
0.00264583333333333,133
0.00266666666666667,166
0.0026875,609
0.00270833333333333,1058
0.00272916666666667,1267
0.00275,1134
0.00277083333333333,657
0.00279166666666667,363
0.0028125,480
0.00283333333333333,742
0.00285416666666667,1295
0.002875,1365
0.00289583333333333,990
0.00291666666666667,939
0.0029375,561
0.00295833333333333,191
0.00297916666666667,267
0.003,606
0.00302083333333333,1150
0.00304166666666667,1112
0.0030625,692
0.00308333333333333,336
0.00310416666666667,-48
0.003125,-205
0.00314583333333333,-426
0.00316666666666667,-568
0.0031875,-232
0.00320833333333333,101
0.00322916666666667,301
0.00325,552
0.00327083333333333,699
0.00329166666666667,743
0.0033125,619
0.00333333333333333,299
0.00335416666666667,136
0.003375,137
0.00339583333333333,117
0.00341666666666667,-3
0.0034375,-162
0.00345833333333333,-268
0.00347916666666667,-389
0.0035,-327
0.00352083333333333,-291
0.00354166666666667,-233
0.0035625,-80
0.00358333333333333,-326
0.00360416666666667,-329
0.003625,-23
0.00364583333333333,-68
0.00366666666666667,-331
0.0036875,-555
0.00370833333333333,-547
0.00372916666666667,-498
0.00375,-393
0.00377083333333333,-378
0.00379166666666667,-428
0.0038125,-353
0.00383333333333333,-447
0.00385416666666667,-363
0.003875,-126
0.00389583333333333,-16
0.00391666666666667,16
0.0039375,-31
